Title,Publication Year,Publication Venue,System NO.,Configuration,Role,Interaction,Application Domain,Relationship,Proxemics,Dynamics
"evARything, evARywhere, all at once: Exploring Scalable Holistic Autonomous Vehicle-Cyclist Interfaces. <a href=""https://dl.acm.org/doi/10.1145/3706598.3713412"">Click</a>",2025,CHI,1,N-Wise,Notification Device,Viewing / Sensing,Cycling simulation,Single user,Near,Mobile
"Watch-Out: Real-Time Tracking and Assistance for Wandering Alzheimer's Patients Using Wearable Technology. <a href=""https://dl.acm.org/doi/full/10.1145/3706599.3720308"">Click</a>",2025,CHI,2,N-Wise,Notification Device & Data Collector,Viewing / Sensing,Alzheimer's patients prevent getting lost,Multiple users,Remote,Mobile
"Factually: A Live, Wearable Fact-Checker. <a href=""https://dl.acm.org/doi/full/10.1145/3706599.3721346"">Click</a>",2025,CHI,3,Pairwise,Notification Device,Viewing / Sensing,Preventing fraud,Single user,Near,Mobile
"AdaptAI: A Personalized Solution to Sense Your Stress, Fix Your Mess, and Boost Productivity. <a href=""https://dl.acm.org/doi/full/10.1145/3706599.3720284"">Click</a>",2025,CHI,4,N-Wise,Data Collector,Other,Productivity,Single user,Personal / Social,Mobile
"From Wrist to Finger: Hand Pose Tracking Using Ring-Watch Wearables. <a href=""https://dl.acm.org/doi/full/10.1145/3706599.3720220"">Click</a>",2025,CHI,5,Pairwise,Data Collector,Interaction,\,Single user,Near,Mobile
"S2Pair: Secure and Simple Device Pairing Using Human Bone as a Key Generator. <a href=""https://dl.acm.org/doi/10.1145/3729466"">Click</a>",2025,Ubicomp,6,Pairwise,Data Collector,Other,Data security,Single user,Near,Mobile
"SensorChat: Answering Qualitative and Quantitative Questions during Long-term Multimodal Sensor Interactions. <a href=""https://dl.acm.org/doi/10.1145/3749496"">Click</a>",2025,Ubicomp,7,Pairwise,Data Collector,Other,Daily life monitoring,Single user,Near,Mobile
"BaroPoser: Real-time Human Motion Tracking from IMUs and Barometers in Everyday Devices. <a href=""https://dl.acm.org/doi/10.1145/3746059.3747731"">Click</a>",2025,UIST,8,Pairwise,Data Collector,Other,\,Single user,Near,Mobile
"EI-Lite: Electrical Impedance Sensing for Micro-gesture Recognition and Pinch Force Estimation. <a href=""https://dl.acm.org/doi/10.1145/3746059.3747671"">Click</a>",2025,UIST,9-1,Pairwise,Input Device,Interaction,Gesture-based Game,Single user,Near,Semi-fixed
"EI-Lite: Electrical Impedance Sensing for Micro-gesture Recognition and Pinch Force Estimation. <a href=""https://dl.acm.org/doi/10.1145/3746059.3747671"">Click</a>",2025,UIST,9-2,Pairwise,Input Device,Interaction,Presentation control,Multiple users,Room / Public,Semi-fixed
"Scaling Context-Aware Task Assistants that Learn from Demonstration and Adapt through Mixed-Initiative Dialogue. <a href=""https://dl.acm.org/doi/10.1145/3746059.3747700"">Click</a>",2025,UIST,10,N-Wise,Data Collector,Other,Productivity,Single user,Personal / Social,Mobile
"UltraPoser: Pushing the Limits of IMU-based Full-Body Pose Estimation with Ultrasound Sensing on Consumer Wearables. <a href=""https://dl.acm.org/doi/10.1145/3746059.3747714"">Click</a>",2025,UIST,11,N-Wise,Data Collector,Other,\,Single user,Near,Mobile
"UniKey: Enabling Surface-Based Typing with Commodity Smartwatches via Cross-Modal Learning. <a href=""https://dl.acm.org/doi/10.1145/3746059.3747611"">Click</a>",2025,UIST,12,Pairwise,Input Device,Interaction,\,Single user,Personal / Social,Mobile
"UbiLearn: Supporting English-as-a-Foreign-Language Learners in Reflecting on Conversations Using a Smartwatch. <a href=""https://dl.acm.org/doi/10.1145/3743735"">Click</a>",2025,MobileHCI,13,Pairwise,Input Device & Notification Device,Interaction,English learning support,Single user,Near,Mobile
"BioVR: An Exploratory Study of Biofeedback-Driven Adaptive VR for Personalized and Sustained Fitness Intensity. <a href=""https://dl.acm.org/doi/10.1145/3715668.3736380"">Click</a>",2025,DIS,14,N-Wise,Data Collector,Other,Personalized Fitness,Single user,Near,Semi-fixed
"Sensors and Sensibilities: Exploring Interactions for Habitat Comfort with An Environmental-Physiological Sensing Eyewear In the Wild. <a href=""https://www.sciencedirect.com/science/article/pii/S1071581925000679"">Click</a>",2025,IJHCS,15,N-Wise,Extended Screen & Notification Device,Interaction,Environmental quality monitoring,Single user,Near,Mobile
"Hapster: Using Apple Watch Haptics to Enable Live Low-Friction Student Feedback in the Physical Classroom. <a href=""https://dl.acm.org/doi/full/10.1145/3613905.3650733"">Click</a>",2024,CHI,16,N-Wise,Notification Device,Viewing / Sensing,Class support,Multiple users,Room / Public,Mobile
"DrHouse: An LLM-empowered Diagnostic Reasoning System through Harnessing Outcomes from Sensor Data and Expert Knowledge. <a href=""https://dl.acm.org/doi/10.1145/3699765"">Click</a>",2024,Ubicomp,17,Pairwise,Data Collector,Other,Diagnostic Reasoning System,Single user,Near,Mobile
"Demonstrating TOM: A Development Platform For Wearable Intelligent Assistants. <a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3677551"">Click</a>",2024,Ubicomp,18,N-Wise,Data Collector,Other,\,Single user,Personal / Social,Mobile
"Unified Framework for Procedural Task Assistants powered by Human Activity Recognition. <a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3678448"">Click</a>",2024,Ubicomp,19,N-Wise,Data Collector,Other,\,Single user,Personal / Social,Mobile
"Toward Detecting Student-Athletes’ Condition Using Passive Mobile and Wearable Sensing. <a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3677583"">Click</a>",2024,Ubicomp,20,N-Wise,Data Collector,Other,Stress monitoring,Single user,Near,Mobile
"Enable Touch-based Communication between Laptop and Smartwatch<a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3677574"">Click</a>",2024,Ubicomp,21,Pairwise,Data Collector,Other,\,Single user,Personal / Social,Mobile
"AudioBuddy: An Assistive Technology for People with Noise Sensitivity and Their Care Networks. <a href=""https://dl.acm.org/doi/abs/10.1145/3675094.3678365"">Click</a>",2024,Ubicomp,22,Pairwise,Data Collector & Extended Screen,Viewing / Sensing,Assistance for people with noise sensitivity,Single user,Near,Mobile
"Silent Impact: Tracking Tennis Shots from the Passive Arm. <a href=""https://dl.acm.org/doi/abs/10.1145/3654777.3676403"">Click</a>",2024,UIST,23,Pairwise,Data Collector,Other,Tennis data tracking,Single user,Near,Mobile
"MobilePoser: Real-Time Full-Body Pose Estimation and 3D Human Translation from IMUs in Mobile Consumer Devices. <a href=""https://dl.acm.org/doi/abs/10.1145/3654777.3676461"">Click</a>",2024,UIST,24,N-Wise,Data Collector,Other,Indoor navigation; Sports game; Personalized Fitness,Single user,Near,Mobile
"Demonstrating XDTK: Prototyping Multi-Device Interaction and Arbitration in XR. <a href=""https://dl.acm.org/doi/abs/10.1145/3672539.3686784"">Click</a>",2024,UIST,25,Pairwise,Data Collector & Input Device & Notification Device,Interaction,Exercising support,Single user,Near,Mobile
"Enhancing Mobile Interaction: Practical Insights from Smartphone and Smartwatch Integration. <a href=""https://dl.acm.org/doi/abs/10.1145/3640471.3680451"">Click</a>",2024,MobileHCI,26-1,Pairwise,Input Device & Extended Screen ,Interaction,English learning support,Single user,Near,Mobile
"Enhancing Mobile Interaction: Practical Insights from Smartphone and Smartwatch Integration. <a href=""https://dl.acm.org/doi/abs/10.1145/3640471.3680451"">Click</a>",2024,MobileHCI,26-2,Pairwise,Input Device & Notification Device & Extended Screen ,Interaction,Cross-screen browsing,Single user,Near,Mobile
"Enhancing Mobile Interaction: Practical Insights from Smartphone and Smartwatch Integration. <a href=""https://dl.acm.org/doi/abs/10.1145/3640471.3680451"">Click</a>",2024,MobileHCI,26-3,Pairwise,Input Device & Extended Screen ,Interaction,Cross-device reading,Single user,Near,Mobile
"RunMe: An adaptive sound system for running meditation. <a href=""https://dl.acm.org/doi/abs/10.1145/3717610"">Click</a>",2024,TOCHI,27,N-Wise,Data Collector,Other,Running meditation,Single user,Near,Mobile
"Wear + Touch: An Exploration of Wearables for Vibrotactile Feedback During Touchscreen Input. <a href=""https://www.tandfonline.com/doi/abs/10.1080/10447318.2024.2372145"">Click</a>",2024,IJHCI,28,N-Wise,Perceptual Enhancer,Viewing / Sensing,\,Single user,Personal / Social,Mobile
"Unpacking the Lived Experiences of Smartwatch Mediated Self and Co-Regulation with ADHD Children. <a href=""https://dl.acm.org/doi/full/10.1145/3544548.3581316"">Click</a>",2023,CHI,29,Pairwise,Input Device,Interaction,Support for children with ADHD,Multiple users,Remote,Mobile
"IMUPoser: Full-Body Pose Estimation using IMUs in Phones, Watches, and Earbuds. <a href=""https://dl.acm.org/doi/full/10.1145/3544548.3581392"">Click</a>",2023,CHI,30,N-Wise,Data Collector,Other,\,Single user,Near,Mobile
"Enabling Voice-Accompanying Hand-to-Face Gesture Recognition with Cross-Device Sensing. <a href=""https://dl.acm.org/doi/full/10.1145/3544548.3581008"">Click</a>",2023,CHI,31,N-Wise,Data Collector & Audio Output Device,Other,\,Single user,Near,Mobile
"Interaction Proxy Manager: Semantic Model Generation and Run-time Support for Reconstructing Ubiquitous User Interfaces of Mobile Services. <a href=""https://dl.acm.org/doi/10.1145/3610929"">Click</a>",2023,Ubicomp,32,Pairwise,Extended Screen,Interaction,\,Single user,Near,Mobile
"PhysiQ: Off-site Quality Assessment of Exercise in Physical Therapy. <a href=""https://dl.acm.org/doi/10.1145/3570349"">Click</a>",2023,Ubicomp,33,Pairwise,Data Collector,Other,Physical Therapy,Single user,Near,Mobile
"SmartASL: ""Point-of-Care"" Comprehensive ASL Interpreter Using Wearables. <a href=""https://dl.acm.org/doi/abs/10.1145/3596255"">Click</a>",2023,Ubicomp,34,N-Wise,Input Device,Interaction,Support for deaf or hard of hearing users,Single user,Near,Mobile
"VibPath: Two-Factor Authentication with Your Hand's Vibration Response to Unlock Your Phone. <a href=""https://dl.acm.org/doi/10.1145/3610894"">Click</a>",2023,Ubicomp,35,Pairwise,Data Collector,Other,Authentication,Single user,Near,Mobile
"AudioBuddy: Using Sound Sensors to Support Sound Sensitivity Awareness in Autistic Individuals. <a href=""https://dl.acm.org/doi/abs/10.1145/3544793.3560336"">Click</a>",2023,Ubicomp,36,Pairwise,Extended Screen,Interaction,Autistic people support,Single user,Near,Mobile
"WMGPT: Towards 24/7 Online Prime Counseling with ChatGPT. <a href=""https://dl.acm.org/doi/abs/10.1145/3594739.3610708"">Click</a>",2023,Ubicomp,37,Pairwise,Data Collector,Other,Mental health support,Single user,Near,Mobile
"SmartPoser: Arm Pose Estimation with a Smartphone and Smartwatch Using UWB and IMU Data. <a href=""https://dl.acm.org/doi/abs/10.1145/3586183.3606821"">Click</a>",2023,UIST,38,Pairwise,Data Collector,Other,\,Single user,Near,Mobile
"UnifiedSense: Enabling Without-Device Gesture Interactions Using Over-the-shoulder Training Between Redundant Wearable Sensors. <a href=""https://dl.acm.org/doi/10.1145/3604277"">Click</a>",2023,MobileHCI,39,N-Wise,Data Collector & Central Device,Interaction,\,Single user,Near,Mobile
"Integrating Real-Time Health Status into Everyday Objects: A Design Case Study on Enhancing Diabetic Health Monitoring with Artistic Creations. <a href=""https://dl.acm.org/doi/abs/10.1145/3565066.3608696"">Click</a>",2023,MobileHCI,40,N-Wise,Notification Device,Viewing / Sensing,Diabetic monitoring,Single user,Room / Public,Semi-fixed
"AcousticType: Smartwatch-enabled Cross-Device Text Entry Method Using Keyboard Acoustics. <a href=""https://dl.acm.org/doi/abs/10.1145/3491101.3519691"">Click</a>",2022,CHI,41,N-Wise,Input Device,Other,\,Single user,Personal / Social,Semi-fixed
